FileNum,Mileage,Color,AcquistionCost,SalesPrice,SoldOn,MMRAvgValue,Year,MakeName,ModelName,StyleName,AddrZip,TagDisplayName
30668,113729,White,0,5400,12-09-2018,5225,2012,Kia,Optima,LX 4dr Sedan 6M,95051,NULL
30669,0,Silver,0,3400,12-09-2018,1825,2005,Chrysler,PT Cruiser,2dr Touring Turbo Convertible,95051,NULL
30710,25123,White,24500,25500,12-09-2018,24500,2015,BMW,X3,AWD xDrive28i 4dr SUV,90001,NULL
30666,82057,White,15000,14750,12-09-2018,16950,2015,BMW,5 Series,528i 4dr Sedan,92408,NULL
30611,157454,PearlWhite,0,10750,12-09-2018,9300,2008,Cadillac,Escalade,AWD Base 4dr SUV,92879,NULL
30667,43013,Gray,9000,11000,12-09-2018,12600,2016,Toyota,Corolla,S Plus 4dr Sedan CVT,92408,NULL
30612,121158,Maroon,0,14000,12-09-2018,12850,2009,Toyota,Tacoma,4x2 PreRunner V6 4dr Double Cab 5.0 ft. SB 5A,92879,NULL
30610,53014,White,0,18500,12-09-2018,20000,2014,Mercedes-Benz,E-Class,E 350 2dr Coupe,92879,NULL
30665,80563,Red,10000,8750,12-09-2018,9750,2013,MINI,Convertible,Cooper S 2dr Convertible,92408,NULL
30663,92748,Tan,7125,7700,12-09-2018,7150,2014,Scion,xB,Base 4dr Wagon 4A,92408,NULL
30662,19314,Black,11625,11000,12-09-2018,11850,2016,Toyota,Corolla,L 4dr Sedan 4A,92408,NULL
30661,177351,Black,1000,1850,12-09-2018,2950,2009,Toyota,Camry,XLE 4dr Sedan 5A,92408,Frame Damage
30497,136586,Black,3733,4500,12-09-2018,3875,2010,Toyota,Corolla,Base 4dr Sedan 4A,90266,NULL
30441,83930,Champagne,7233,8000,12-09-2018,7475,2012,Jeep,Liberty,4x2 Sport 4dr SUV,90266,NULL
30304,71686,Silver,11233,9500,12-09-2018,9125,2012,Buick,Regal,4dr Sdn GS,90266,NULL
30337,163493,Silver,11733,13250,12-09-2018,14550,2015,Toyota,Tundra 2WD Truck,Double Cab 4.6L V8 6-Spd AT SR,90266,NULL
30498,37116,Black,11733,10750,12-09-2018,16300,2017,Honda,HR-V,LX 2WD CVT,90266,NULL
30268,78943,White,7210,9500,12-09-2018,7775,2011,Toyota,Prius,,90266,NULL
30604,24308,Black,6233,5800,12-09-2018,8600,2016,Nissan,Versa,4dr Sdn CVT 1.6 S Plus,90266,NULL
30442,139376,Black,4221,4800,12-09-2018,2675,2002,Ford,Ranger,4dr Supercab 4.0L Edge 4WD,90266,NULL
30630,158610,Black,5000,4800,12-09-2018,4625,2012,Subaru,Forester,AWD 2.5X Premium 4dr Wagon 4A,92832,NULL
29192,152296,LightBlue,600,950,15-08-2018,900,2000,Dodge,Dakota,2dr SLT Extended Cab SB,90801,NULL
30714,61881,White,13000,14750,12-09-2018,13450,2013,BMW,X3,AWD xDrive28i 4dr SUV,92833,NULL
30737,150866,White,6250,7300,12-09-2018,5975,2011,Honda,CR-V,EX-L 4dr SUV,92806,NULL
30738,29230,LightBlue,2250,3000,12-09-2018,1925,2006,Chrysler,PT Cruiser,Limited 4dr Wagon,92806,NULL
30726,150097,Black,4500,4000,12-09-2018,4125,2009,BMW,3 Series,328i 2dr Coupe SULEV,92833,NULL
30718,101689,Gray,4500,3900,12-09-2018,4650,2007,BMW,3 Series,335i 4dr Sedan,90001,NULL
30712,103698,Silver,13000,13750,12-09-2018,13900,2012,Audi,Q7,AWD 3.0T quattro Premium Plus 4dr SUV,92833,NULL
30713,92471,Black,5500,4700,12-09-2018,0,2008,BMW,7 Series,750Li 4dr Sedan,92833,NULL
30721,95275,Black,5000,5200,12-09-2018,5050,2009,BMW,3 Series,328i 4dr Sedan,90001,NULL
30722,143270,LightBlue,4000,3400,12-09-2018,3225,2009,BMW,3 Series,328i 4dr Sedan SULEV,90001,NULL
30756,116196,White,0,9000,12-09-2018,6300,2008,Land Rover,Range Rover,4x4 Supercharged 4dr SUV,92660,NULL
30760,60606,Black,0,16500,12-09-2018,16700,2013,BMW,5 Series,535i 4dr Sedan,92660,NULL
30755,128305,Black,0,9500,12-09-2018,9275,2013,Ford,F-150,4x2 XL 4dr SuperCab Styleside 6.5 ft. SB,92660,NULL
